-  Epoch: 25, train/loss: 0.780, train/accu: 0.750, memory: 0.105GB, iter: 0
-  Epoch: 25, train/loss: 0.719, train/accu: 0.784, memory: 0.105GB, iter: 50
-  Epoch: 25, train/loss: 0.764, train/accu: 0.776, memory: 0.094GB, iter: 100
-  Epoch: 25, train/loss: 0.778, train/accu: 0.772, memory: 0.131GB, iter: 150
-  Epoch: 25, train/loss: 0.769, train/accu: 0.772, memory: 0.125GB, iter: 200
-  Epoch: 25, train/loss: 0.768, train/accu: 0.772, memory: 0.094GB, iter: 250
-  Epoch: 25, train/loss: 0.767, train/accu: 0.774, memory: 0.115GB, iter: 300
-  Epoch: 26, train/loss: 0.687, train/accu: 0.844, memory: 0.113GB, iter: 0
-  Epoch: 26, train/loss: 0.713, train/accu: 0.779, memory: 0.125GB, iter: 50
-  Epoch: 26, train/loss: 0.812, train/accu: 0.761, memory: 0.096GB, iter: 100
-  Epoch: 26, train/loss: 0.815, train/accu: 0.758, memory: 0.102GB, iter: 150
-  Epoch: 26, train/loss: 0.805, train/accu: 0.761, memory: 0.104GB, iter: 200
-  Epoch: 26, train/loss: 0.796, train/accu: 0.765, memory: 0.129GB, iter: 250
-  Epoch: 26, train/loss: 0.785, train/accu: 0.768, memory: 0.131GB, iter: 300
-  Epoch: 27, train/loss: 0.953, train/accu: 0.688, memory: 0.102GB, iter: 0
-  Epoch: 27, train/loss: 0.770, train/accu: 0.765, memory: 0.100GB, iter: 50
-  Epoch: 27, train/loss: 0.754, train/accu: 0.772, memory: 0.102GB, iter: 100
-  Epoch: 27, train/loss: 0.754, train/accu: 0.771, memory: 0.094GB, iter: 150
-  Epoch: 27, train/loss: 0.767, train/accu: 0.769, memory: 0.146GB, iter: 200
-  Epoch: 27, train/loss: 0.769, train/accu: 0.772, memory: 0.146GB, iter: 250
-  Epoch: 27, train/loss: 0.762, train/accu: 0.773, memory: 0.098GB, iter: 300
-  Epoch: 28, train/loss: 1.017, train/accu: 0.781, memory: 0.109GB, iter: 0
-  Epoch: 28, train/loss: 0.734, train/accu: 0.780, memory: 0.119GB, iter: 50
-  Epoch: 28, train/loss: 0.729, train/accu: 0.786, memory: 0.152GB, iter: 100
-  Epoch: 28, train/loss: 0.768, train/accu: 0.774, memory: 0.113GB, iter: 150
-  Epoch: 28, train/loss: 0.782, train/accu: 0.770, memory: 0.094GB, iter: 200
-  Epoch: 28, train/loss: 0.782, train/accu: 0.771, memory: 0.113GB, iter: 250
-  Epoch: 28, train/loss: 0.775, train/accu: 0.773, memory: 0.129GB, iter: 300
-  Epoch: 29, train/loss: 0.314, train/accu: 0.906, memory: 0.096GB, iter: 0
-  Epoch: 29, train/loss: 0.728, train/accu: 0.781, memory: 0.111GB, iter: 50
-  Epoch: 29, train/loss: 0.749, train/accu: 0.776, memory: 0.090GB, iter: 100
-  Epoch: 29, train/loss: 0.773, train/accu: 0.765, memory: 0.086GB, iter: 150
-  Epoch: 29, train/loss: 0.776, train/accu: 0.768, memory: 0.125GB, iter: 200
-  Epoch: 29, train/loss: 0.766, train/accu: 0.773, memory: 0.090GB, iter: 250
-  Epoch: 29, train/loss: 0.765, train/accu: 0.776, memory: 0.127GB, iter: 300
-  Epoch: 30, train/loss: 0.834, train/accu: 0.750, memory: 0.098GB, iter: 0
-  Epoch: 30, train/loss: 0.770, train/accu: 0.776, memory: 0.125GB, iter: 50
-  Epoch: 30, train/loss: 0.741, train/accu: 0.784, memory: 0.096GB, iter: 100
-  Epoch: 30, train/loss: 0.753, train/accu: 0.782, memory: 0.102GB, iter: 150
-  Epoch: 30, train/loss: 0.760, train/accu: 0.781, memory: 0.133GB, iter: 200
-  Epoch: 30, train/loss: 0.761, train/accu: 0.780, memory: 0.131GB, iter: 250
-  Epoch: 30, train/loss: 0.757, train/accu: 0.779, memory: 0.129GB, iter: 300
-  Epoch: 31, train/loss: 1.224, train/accu: 0.719, memory: 0.096GB, iter: 0
-  Epoch: 31, train/loss: 0.747, train/accu: 0.769, memory: 0.092GB, iter: 50
-  Epoch: 31, train/loss: 0.756, train/accu: 0.774, memory: 0.160GB, iter: 100
-  Epoch: 31, train/loss: 0.767, train/accu: 0.776, memory: 0.104GB, iter: 150
