-  Epoch: 27, train/loss: 0.793, train/accu: 0.768, memory: 0.107GB, iter: 100
-  Epoch: 27, train/loss: 0.786, train/accu: 0.769, memory: 0.107GB, iter: 150
-  Epoch: 27, train/loss: 0.781, train/accu: 0.770, memory: 0.098GB, iter: 200
-  Epoch: 27, train/loss: 0.767, train/accu: 0.775, memory: 0.096GB, iter: 250
-  Epoch: 27, train/loss: 0.769, train/accu: 0.775, memory: 0.096GB, iter: 300
-  Epoch: 28, train/loss: 0.449, train/accu: 0.875, memory: 0.107GB, iter: 0
-  Epoch: 28, train/loss: 0.758, train/accu: 0.779, memory: 0.105GB, iter: 50
-  Epoch: 28, train/loss: 0.740, train/accu: 0.780, memory: 0.133GB, iter: 100
-  Epoch: 28, train/loss: 0.755, train/accu: 0.778, memory: 0.172GB, iter: 150
-  Epoch: 28, train/loss: 0.760, train/accu: 0.772, memory: 0.139GB, iter: 200
-  Epoch: 28, train/loss: 0.766, train/accu: 0.772, memory: 0.104GB, iter: 250
-  Epoch: 28, train/loss: 0.769, train/accu: 0.772, memory: 0.131GB, iter: 300
-  Epoch: 29, train/loss: 0.711, train/accu: 0.781, memory: 0.098GB, iter: 0
-  Epoch: 29, train/loss: 0.741, train/accu: 0.781, memory: 0.111GB, iter: 50
-  Epoch: 29, train/loss: 0.762, train/accu: 0.774, memory: 0.111GB, iter: 100
-  Epoch: 29, train/loss: 0.752, train/accu: 0.779, memory: 0.141GB, iter: 150
-  Epoch: 29, train/loss: 0.756, train/accu: 0.778, memory: 0.102GB, iter: 200
-  Epoch: 29, train/loss: 0.760, train/accu: 0.778, memory: 0.111GB, iter: 250
-  Epoch: 29, train/loss: 0.761, train/accu: 0.776, memory: 0.133GB, iter: 300
-  Epoch: 30, train/loss: 1.166, train/accu: 0.688, memory: 0.096GB, iter: 0
-  Epoch: 30, train/loss: 0.724, train/accu: 0.782, memory: 0.131GB, iter: 50
-  Epoch: 30, train/loss: 0.740, train/accu: 0.781, memory: 0.131GB, iter: 100
-  Epoch: 30, train/loss: 0.751, train/accu: 0.777, memory: 0.098GB, iter: 150
-  Epoch: 30, train/loss: 0.765, train/accu: 0.774, memory: 0.107GB, iter: 200
-  Epoch: 30, train/loss: 0.757, train/accu: 0.775, memory: 0.137GB, iter: 250
-  Epoch: 30, train/loss: 0.760, train/accu: 0.775, memory: 0.135GB, iter: 300
-  Epoch: 31, train/loss: 0.571, train/accu: 0.812, memory: 0.100GB, iter: 0
-  Epoch: 31, train/loss: 0.731, train/accu: 0.778, memory: 0.104GB, iter: 50
-  Epoch: 31, train/loss: 0.733, train/accu: 0.779, memory: 0.105GB, iter: 100
-  Epoch: 31, train/loss: 0.737, train/accu: 0.778, memory: 0.104GB, iter: 150
-  Epoch: 31, train/loss: 0.727, train/accu: 0.782, memory: 0.105GB, iter: 200
-  Epoch: 31, train/loss: 0.736, train/accu: 0.778, memory: 0.100GB, iter: 250
-  Epoch: 31, train/loss: 0.741, train/accu: 0.779, memory: 0.135GB, iter: 300
-  Epoch: 32, train/loss: 0.615, train/accu: 0.781, memory: 0.100GB, iter: 0
-  Epoch: 32, train/loss: 0.752, train/accu: 0.774, memory: 0.098GB, iter: 50
-  Epoch: 32, train/loss: 0.781, train/accu: 0.763, memory: 0.100GB, iter: 100
-  Epoch: 32, train/loss: 0.782, train/accu: 0.766, memory: 0.098GB, iter: 150
-  Epoch: 32, train/loss: 0.786, train/accu: 0.768, memory: 0.096GB, iter: 200
-  Epoch: 32, train/loss: 0.781, train/accu: 0.771, memory: 0.096GB, iter: 250
-  Epoch: 32, train/loss: 0.776, train/accu: 0.772, memory: 0.100GB, iter: 300
-  Epoch: 33, train/loss: 0.910, train/accu: 0.719, memory: 0.115GB, iter: 0
-  Epoch: 33, train/loss: 0.664, train/accu: 0.803, memory: 0.111GB, iter: 50
-  Epoch: 33, train/loss: 0.718, train/accu: 0.787, memory: 0.100GB, iter: 100
-  Epoch: 33, train/loss: 0.760, train/accu: 0.776, memory: 0.098GB, iter: 150
-  Epoch: 33, train/loss: 0.770, train/accu: 0.773, memory: 0.131GB, iter: 200
-  Epoch: 33, train/loss: 0.772, train/accu: 0.771, memory: 0.104GB, iter: 250
-  Epoch: 33, train/loss: 0.768, train/accu: 0.771, memory: 0.121GB, iter: 300
-  Epoch: 34, train/loss: 0.517, train/accu: 0.844, memory: 0.102GB, iter: 0
-  Epoch: 34, train/loss: 0.762, train/accu: 0.773, memory: 0.102GB, iter: 50
-  Epoch: 34, train/loss: 0.778, train/accu: 0.767, memory: 0.109GB, iter: 100
-  Epoch: 34, train/loss: 0.767, train/accu: 0.768, memory: 0.135GB, iter: 150
-  Epoch: 34, train/loss: 0.769, train/accu: 0.768, memory: 0.105GB, iter: 200
-  Epoch: 34, train/loss: 0.762, train/accu: 0.771, memory: 0.105GB, iter: 250
-  Epoch: 34, train/loss: 0.762, train/accu: 0.773, memory: 0.105GB, iter: 300
-  Epoch: 35, train/loss: 0.788, train/accu: 0.812, memory: 0.098GB, iter: 0
